date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:49	8155/8155	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-1fdb%22	https://templates.hibootstrap.com/jeel/default/assets/js/wow.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/wow.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:49	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-ad36%22	https://templates.hibootstrap.com/jeel/default/assets/js/owl.carousel.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/owl.carousel.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:49	7451/7451	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-1d1b%22	https://templates.hibootstrap.com/jeel/default/assets/js/jquery-modal-video.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/jquery-modal-video.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:50	10264/10264	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-2818%22	https://templates.hibootstrap.com/jeel/default/assets/js/odometer.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/odometer.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:50	1566/1566	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b5e8c-61e%22	https://templates.hibootstrap.com/jeel/default/assets/js/jquery.appear.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/jquery.appear.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:50	110419/110419	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-1af53%22	https://templates.hibootstrap.com/jeel/default/assets/js/jquery.themepunch.tools.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/jquery.themepunch.tools.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:51	64989/64989	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-fddd%22	https://templates.hibootstrap.com/jeel/default/assets/js/jquery.themepunch.revolution.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/jquery.themepunch.revolution.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:51	8324/8324	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-2084%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.actions.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.actions.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:51	7601/7601	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-1db1%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.carousel.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.carousel.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:51	3750/3750	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-ea6%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.kenburn.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.kenburn.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:52	55805/55805	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-d9fd%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.layeranimation.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.layeranimation.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
